select t.TABLE_NAME || '|' ||
       s.COLUMN_NAME || '|' ||
       s.DATA_TYPE || '|' ||
	   s.DATA_LENGTH || '|' ||
	   s.DATA_PRECISION || '|' ||
	   t.NUM_ROWS
from DBA_TABLES t,DBA_TAB_COLUMNS s
where t.table_name = s.table_name
and   t.OWNER  = '&schema';
&schema: SSR
A2219015_VCR|MCA_PROCESSADO_VCR|VARCHAR2|1||20494650
A2219015_VCR|NUM_POLIZA_DEFINITIVO_VCR|VARCHAR2|13||20494650
A2219015_VCR|MCA_REPROCESSO|VARCHAR2|1||20494650
A2219015_VCR_ROK|COD_CIA|NUMBER|22|2|6882874
A2219015_VCR_ROK|NUM_POLIZA|VARCHAR2|13||6882874
A2219015_VCR_ROK|NUM_SPTO|NUMBER|22|5|6882874
A2219015_VCR_ROK|NUM_APLI|NUMBER|22||6882874
A2219015_VCR_ROK|NUM_SPTO_APLI|NUMBER|22|5|6882874
A2219015_VCR_ROK|COD_RAMO|NUMBER|22|3|6882874
A2219015_VCR_ROK|FEC_EMISION_SPTO|DATE|7||6882874
A2219015_VCR_ROK|MCA_APOLICE_VCR|VARCHAR2|1||6882874
A2219015_VCR_ROK|MCA_RESULTADO_SUBSCRICAO_VCR|VARCHAR2|1||6882874
A2219015_VCR_ROK|FEC_FIM_SUBSCRICAO_VCR|DATE|7||6882874
A2219015_VCR_ROK|MCA_PROCESSADO_VCR|VARCHAR2|1||6882874
A2219015_VCR_ROK|NUM_POLIZA_DEFINITIVO_VCR|VARCHAR2|13||6882874
A2219015_VCR_ROK|MCA_REPROCESSO|VARCHAR2|1||6882874
A2219016_VCR|FEC_AUTORIZACION|DATE|7||66683442
A2219016_VCR|COD_USR_AUTORIZACION|VARCHAR2|8||66683442
A2219016_VCR|OBS_AUTORIZACION|VARCHAR2|600||66683442
A2219016_VCR|TIP_RECHAZO|NUMBER|22|1|66683442
A2219016_VCR|MCA_RECHAZO|VARCHAR2|1||66683442
A2219016_VCR|FEC_GERACAO_VCR|DATE|7||66683442
A2219016_VCR|MCA_ANULADO_AGT|VARCHAR2|1||66683442
A2219016_VCR|COD_CIA|NUMBER|22|2|66683442
A2219016_VCR|NUM_POLIZA|VARCHAR2|13||66683442
A2219016_VCR|NUM_SPTO|NUMBER|22|5|66683442
A2219016_VCR|NUM_APLI|NUMBER|22||66683442
A2219016_VCR|NUM_SPTO_APLI|NUMBER|22|5|66683442
A2219016_VCR|NUM_RIESGO|NUMBER|22|6|66683442
A2219016_VCR|COD_COB|NUMBER|22|4|66683442
A2219016_VCR|COD_SECC_REAS|NUMBER|22|3|66683442
A2219016_VCR|COD_ERROR|NUMBER|22|3|66683442
A2219016_VCR|COD_SISTEMA|VARCHAR2|1||66683442
A2219016_VCR|COD_NIVEL_SALTO|VARCHAR2|2||66683442
A2219016_VCR|MCA_AUTORIZACION|VARCHAR2|1||66683442
A2219016_VCR_208241|COD_CIA|NUMBER|22|2|2218574
A2219016_VCR_208241|NUM_POLIZA|VARCHAR2|13||2218574
A2219016_VCR_208241|NUM_SPTO|NUMBER|22|5|2218574
A2219016_VCR_208241|NUM_APLI|NUMBER|22|5|2218574
A2219016_VCR_208241|NUM_SPTO_APLI|NUMBER|22|5|2218574
A2219016_VCR_208241|NUM_RIESGO|NUMBER|22|6|2218574
A2219016_VCR_208241|COD_COB|NUMBER|22|4|2218574
A2219016_VCR_208241|COD_SECC_REAS|NUMBER|22|3|2218574
A2219016_VCR_208241|COD_ERROR|NUMBER|22|3|2218574
A2219016_VCR_208241|COD_SISTEMA|VARCHAR2|1||2218574
A2219016_VCR_208241|COD_NIVEL_SALTO|VARCHAR2|2||2218574
A2219016_VCR_208241|MCA_AUTORIZACION|VARCHAR2|1||2218574
A2219016_VCR_208241|FEC_AUTORIZACION|DATE|7||2218574
A2219016_VCR_208241|COD_USR_AUTORIZACION|VARCHAR2|8||2218574
A2219016_VCR_208241|OBS_AUTORIZACION|VARCHAR2|80||2218574
A2219016_VCR_208241|TIP_RECHAZO|NUMBER|22|1|2218574
A2219016_VCR_208241|MCA_RECHAZO|VARCHAR2|1||2218574
A2219016_VCR_208241|FEC_GERACAO_VCR|DATE|7||2218574
A2219017_VCR|COD_CIA|NUMBER|22|2|0
A2219017_VCR|NUM_POLIZA|VARCHAR2|13||0
A2219017_VCR|NUM_SPTO|NUMBER|22|5|0
A2219017_VCR|NUM_APLI|NUMBER|22|5|0
A2219017_VCR|NUM_SPTO_APLI|NUMBER|22|5|0
A2219017_VCR|FEC_LIBERACAO_VCR|DATE|7||0
A2219017_VCR|MCA_COBERTURA_VCR|VARCHAR2|1||0
A2219018_VCR|NUM_SPTO|NUMBER|22|5|0
A2219018_VCR|NUM_APLI|NUMBER|22|5|0
A2219018_VCR|NUM_SPTO_APLI|NUMBER|22|5|0
A2219018_VCR|FEC_INI_SUSPENSAO_VCR|DATE|7||0
A2219018_VCR|NUM_DIAS|NUMBER|22|3|0
A2219018_VCR|TXT_MOTIVO_SUSPENSAO_VCR|VARCHAR2|250||0
A2219018_VCR|COD_USR|VARCHAR2|8||0
A2219018_VCR|FEC_ACTU|DATE|7||0
A2219018_VCR|COD_CIA|NUMBER|22|2|0
A2219018_VCR|NUM_POLIZA|VARCHAR2|13||0
A2219019_VCR|COD_CIA|NUMBER|22|2|2
A2219019_VCR|MCA_COBERTURA_VCR|VARCHAR2|1||2
A2219019_VCR|TXT_STATUS_COBERTURA_VCR|VARCHAR2|30||2
A2219020_VCR|MCA_NACIONALIDADE_VCR|VARCHAR2|1||0
A2219020_VCR|MCA_TIPO_VISTORIA_VCR|VARCHAR2|1||0
A2219020_VCR|COD_CIA|NUMBER|22|2|0
A2219020_VCR|NUM_VISTORIA_VCR|VARCHAR2|10||0
A2219020_VCR|FEC_DATA_HORA_VISTORIA_VCR|DATE|7||0
A2219020_VCR|COD_VISTORIADORA_VCR|NUMBER|22|4|0
A2219020_VCR|NUM_CHASSI_VCR|VARCHAR2|17||0
A2219020_VCR|TIP_MOTIVO_VISTORIA_VCR|NUMBER|22|2|0
A2219020_VCR|COD_AGENCIA_VCR|NUMBER|22|5|0
A2219020_VCR|NOM_AGENCIA_VCR|VARCHAR2|50||0
A2219020_VCR|NOM_CORRETOR_VCR|VARCHAR2|30||0
A2219020_VCR|COD_CORRETOR_VCR|NUMBER|22|7|0
A2219020_VCR|TIP_PESSOA_VCR|VARCHAR2|2||0
A2219020_VCR|NUM_CPF_CNPJ_SEGURADO_VCR|NUMBER|22|14|0
A2219020_VCR|NOM_SEGURADO_VCR|VARCHAR2|30||0
A2219020_VCR|TXT_ENDERECO_SEGURADO_VCR|VARCHAR2|30||0
A2219020_VCR|NUM_SEGURADO_VCR|VARCHAR2|10||0
A2219020_VCR|TXT_COMPLEMENTO_SEGURADO_VCR|VARCHAR2|15||0
A2219020_VCR|NOM_BAIRRO_SEGURADO_VCR|VARCHAR2|50||0
A2219020_VCR|NOM_CIDADE_SEGURADO_VCR|VARCHAR2|30||0
A2219020_VCR|NOM_ESTADO_SEGURADO_VCR|VARCHAR2|2||0
A2219020_VCR|NUM_CEP_SEGURADO_VCR|VARCHAR2|10||0
A2219020_VCR|NUM_TELEFONE_SEGURADO_VCR|VARCHAR2|15||0
A2219020_VCR|MCA_VEICULO_ALIENADO_VCR|VARCHAR2|1||0
A2219020_VCR|NOM_FINANCEIRA_VCR|VARCHAR2|30||0
A2219020_VCR|NOM_CRLV_VCR|VARCHAR2|30||0
A2219020_VCR|NUM_CRLV_VCR|VARCHAR2|10||0
A2219020_VCR|TXT_LOCAL_INSPECAO_VCR|VARCHAR2|30||0
A2219020_VCR|COD_POSTO_VCR|VARCHAR2|10||0
A2219020_VCR|TIP_POSTO_VCR|NUMBER|22|2|0
A2219020_VCR|TXT_MARCA_VEICULO_VCR|VARCHAR2|30||0
A2219020_VCR|NUM_POTENCIA_VEICULO_VCR|VARCHAR2|10||0
A2219020_VCR|TXT_MODELO_VEICULO_VCR|VARCHAR2|30||0
A2219020_VCR|NUM_ANO_FABRICACAO_VCR|VARCHAR2|4||0
A2219020_VCR|NUM_ANO_MODELO_VCR|VARCHAR2|4||0
A2219020_VCR|NUM_QUANTIDADE_PORTAS_VCR|NUMBER|22|2|0
A2219020_VCR|NUM_MOTOR|VARCHAR2|30||0
A2219020_VCR|NUM_RENAVAM_VCR|VARCHAR2|11||0
A2219020_VCR|NUM_KM_VEICULO_VCR|NUMBER|22|10|0
A2219020_VCR|TXT_PLACA_VEICULO_VCR|VARCHAR2|10||0
A2219020_VCR|MCA_PLACA_VERMELHA_VCR|VARCHAR2|1||0
A2219020_VCR|TIP_CATEGORIA_PLACA_VCR|NUMBER|22|2|0
A2219020_VCR|MCA_VEICULO_TRANSFORMADO_VCR|VARCHAR2|1||0
A2219020_VCR|TIP_USO_VEICULO_VCR|NUMBER|22|2|0
A2219020_VCR|COD_PINTURA_VEICULO_VCR|NUMBER|22|2|0
A2219020_VCR|TXT_COR_VEICULO_VCR|VARCHAR2|30||0
A2219020_VCR|COD_COMBUSTIVEL_VCR|NUMBER|22|2|0
A2219020_VCR|MCA_VEICULO_CONVERSIVEL_VCR|VARCHAR2|1||0
A2219020_VCR|NUM_CAPACIDADE_VEICULO_VCR|NUMBER|22|2|0
A2219020_VCR|COD_CARROCERIA_VCR|NUMBER|22|2|0
A2219020_VCR|NUM_CILINDROS_VCR|NUMBER|22|10|0
A2219020_VCR|MCA_EXTINTOR_VCR|VARCHAR2|1||0
A2219020_VCR|FEC_VALIDADE_EXTINTOR_VCR|DATE|7||0
A2219020_VCR|TXT_OBSERVACAO_VCR|VARCHAR2|213||0
A2219020_VCR|TIP_CONDICAO_CHASSI_VCR|NUMBER|22|2|0
A2219020_VCR|TIP_SITUACAO_RISCO_VCR|NUMBER|22|2|0
A2219020_VCR|NUM_FOTOS_VCR|NUMBER|22|2|0
A2219020_VCR|NUM_CPF_VISTORIADOR_VCR|VARCHAR2|18||0
A2219020_VCR|NOM_VISTORIADOR_VCR|VARCHAR2|30||0
A2219020_VCR|VAL_PORC_AVARIA_VCR|NUMBER|22|3|0
A2219020_VCR|TIP_SITUACAO_VISTORIA_VCR|VARCHAR2|2||0
A2219020_VCR|FEC_SITUACAO_VISTORIA_VCR|DATE|7||0
A2219020_VCR|NUM_TRANSMISSAO_VCR|NUMBER|22|6|0
A2219020_VCR|FEC_TRANSMISSAO_VCR|DATE|7||0
A2219020_VCR|NUM_POLIZA|VARCHAR2|13||0
A2219020_VCR|NUM_SPTO|NUMBER|22|5|0
A2219020_VCR|NUM_RIESGO|NUMBER|22|6|0
A2219020_VCR|FEC_ACTU|DATE|7||0
A2219020_VCR|COD_USR|VARCHAR2|8||0
A2219020_VCR|COD_RESTRICAO_VCR|NUMBER|22|20|0
A2219020_VCR|VAL_PRECO_VISTORIA_VCR|NUMBER|22|9|0
A2219020_VCR|NUM_QUANTIDADE_KM_VCR|NUMBER|22|7|0
A2219020_VCR|VAL_CUSTO_KM_VCR|NUMBER|22|9|0
A2219020_VCR|VAL_CUSTO_FOTO_VCR|NUMBER|22|9|0
A2219020_VCR|NUM_SOLICITACAO_VCR|VARCHAR2|20||0
A2219021_VCR|CEP_INSPECAO|VARCHAR2|8||2302161
A2219021_VCR|FEC_DATA_HORA_AGENDA_VCR|DATE|7||2302161
A2219021_VCR|COD_CIA|NUMBER|22|2|2302161
A2219021_VCR|NUM_VISTORIA_VCR|VARCHAR2|10||2302161
A2219021_VCR|FEC_DATA_HORA_VISTORIA_VCR|DATE|7||2302161
A2219021_VCR|COD_VISTORIADORA_VCR|NUMBER|22|4|2302161
A2219021_VCR|NUM_CHASSI_VCR|VARCHAR2|17||2302161
A2219021_VCR|TIP_MOTIVO_VISTORIA_VCR|NUMBER|22|2|2302161
A2219021_VCR|COD_AGENCIA_VCR|NUMBER|22|5|2302161
A2219021_VCR|NOM_AGENCIA_VCR|VARCHAR2|50||2302161
A2219021_VCR|NOM_CORRETOR_VCR|VARCHAR2|30||2302161
A2219021_VCR|COD_CORRETOR_VCR|NUMBER|22|7|2302161
A2219021_VCR|TIP_PESSOA_VCR|VARCHAR2|2||2302161
A2219021_VCR|NUM_CPF_CNPJ_SEGURADO_VCR|NUMBER|22|14|2302161
A2219021_VCR|NOM_SEGURADO_VCR|VARCHAR2|30||2302161
A2219021_VCR|TXT_ENDERECO_SEGURADO_VCR|VARCHAR2|30||2302161
A2219021_VCR|NUM_SEGURADO_VCR|VARCHAR2|10||2302161
A2219021_VCR|TXT_COMPLEMENTO_SEGURADO_VCR|VARCHAR2|15||2302161
A2219021_VCR|NOM_BAIRRO_SEGURADO_VCR|VARCHAR2|50||2302161
A2219021_VCR|NOM_CIDADE_SEGURADO_VCR|VARCHAR2|30||2302161
A2219021_VCR|NOM_ESTADO_SEGURADO_VCR|VARCHAR2|2||2302161
A2219021_VCR|NUM_CEP_SEGURADO_VCR|VARCHAR2|10||2302161
A2219021_VCR|NUM_TELEFONE_SEGURADO_VCR|VARCHAR2|15||2302161
A2219021_VCR|MCA_VEICULO_ALIENADO_VCR|VARCHAR2|1||2302161
A2219021_VCR|NOM_FINANCEIRA_VCR|VARCHAR2|30||2302161
A2219021_VCR|NOM_CRLV_VCR|VARCHAR2|30||2302161
A2219021_VCR|NUM_CRLV_VCR|VARCHAR2|10||2302161
A2219021_VCR|TXT_LOCAL_INSPECAO_VCR|VARCHAR2|30||2302161
A2219021_VCR|COD_POSTO_VCR|VARCHAR2|10||2302161
A2219021_VCR|TIP_POSTO_VCR|NUMBER|22|2|2302161
A2219021_VCR|TXT_MARCA_VEICULO_VCR|VARCHAR2|30||2302161
A2219021_VCR|NUM_POTENCIA_VEICULO_VCR|VARCHAR2|10||2302161
A2219021_VCR|TXT_MODELO_VEICULO_VCR|VARCHAR2|30||2302161
A2219021_VCR|NUM_ANO_FABRICACAO_VCR|VARCHAR2|4||2302161
A2219021_VCR|NUM_ANO_MODELO_VCR|VARCHAR2|4||2302161
A2219021_VCR|NUM_QUANTIDADE_PORTAS_VCR|NUMBER|22|2|2302161
A2219021_VCR|NUM_MOTOR|VARCHAR2|30||2302161
A2219021_VCR|NUM_RENAVAM_VCR|VARCHAR2|11||2302161
A2219021_VCR|NUM_KM_VEICULO_VCR|NUMBER|22|10|2302161
A2219021_VCR|TXT_PLACA_VEICULO_VCR|VARCHAR2|10||2302161
A2219021_VCR|MCA_PLACA_VERMELHA_VCR|VARCHAR2|1||2302161
A2219021_VCR|TIP_CATEGORIA_PLACA_VCR|NUMBER|22|2|2302161
A2219021_VCR|MCA_VEICULO_TRANSFORMADO_VCR|VARCHAR2|1||2302161
A2219021_VCR|TIP_USO_VEICULO_VCR|NUMBER|22|2|2302161
A2219021_VCR|COD_PINTURA_VEICULO_VCR|NUMBER|22|2|2302161
A2219021_VCR|TXT_COR_VEICULO_VCR|VARCHAR2|30||2302161
A2219021_VCR|COD_COMBUSTIVEL_VCR|NUMBER|22|2|2302161
A2219021_VCR|MCA_VEICULO_CONVERSIVEL_VCR|VARCHAR2|1||2302161
A2219021_VCR|NUM_CAPACIDADE_VEICULO_VCR|NUMBER|22|2|2302161
A2219021_VCR|COD_CARROCERIA_VCR|NUMBER|22|2|2302161
A2219021_VCR|NUM_CILINDROS_VCR|NUMBER|22|10|2302161
A2219021_VCR|MCA_EXTINTOR_VCR|VARCHAR2|1||2302161
A2219021_VCR|FEC_VALIDADE_EXTINTOR_VCR|DATE|7||2302161
A2219021_VCR|TXT_OBSERVACAO_VCR|VARCHAR2|213||2302161
A2219021_VCR|TIP_CONDICAO_CHASSI_VCR|NUMBER|22|2|2302161
A2219021_VCR|TIP_SITUACAO_RISCO_VCR|NUMBER|22|2|2302161
A2219021_VCR|NUM_FOTOS_VCR|NUMBER|22|2|2302161
A2219021_VCR|NUM_CPF_VISTORIADOR_VCR|VARCHAR2|18||2302161
A2219021_VCR|NOM_VISTORIADOR_VCR|VARCHAR2|30||2302161
A2219021_VCR|VAL_PORC_AVARIA_VCR|NUMBER|22|5|2302161
A2219021_VCR|TIP_SITUACAO_VISTORIA_VCR|VARCHAR2|2||2302161
A2219021_VCR|FEC_SITUACAO_VISTORIA_VCR|DATE|7||2302161
A2219021_VCR|NUM_TRANSMISSAO_VCR|NUMBER|22|6|2302161
A2219021_VCR|FEC_TRANSMISSAO_VCR|DATE|7||2302161
A2219021_VCR|NUM_POLIZA|VARCHAR2|13||2302161
A2219021_VCR|NUM_SPTO|NUMBER|22|5|2302161
A2219021_VCR|NUM_RIESGO|NUMBER|22|6|2302161
A2219021_VCR|FEC_ACTU|DATE|7||2302161
A2219021_VCR|COD_USR|VARCHAR2|8||2302161
A2219021_VCR|COD_RESTRICAO_VCR|NUMBER|22|20|2302161
A2219021_VCR|VAL_PRECO_VISTORIA_VCR|NUMBER|22|11|2302161
A2219021_VCR|NUM_QUANTIDADE_KM_VCR|NUMBER|22|7|2302161
