select t.TABLE_NAME || '|' ||
       s.COLUMN_NAME || '|' ||
       s.DATA_TYPE || '|' ||
	   s.DATA_LENGTH || '|' ||
	   s.DATA_PRECISION || '|' ||
	   t.NUM_ROWS
from DBA_TABLES t,DBA_TAB_COLUMNS s
where t.table_name = s.table_name
and   t.OWNER  = '&schema';
&schema: SSR
A2219009_VCR|COD_CIA|NUMBER|22|2|0
A2219009_VCR|NOM_FISICO_TAB_VCR|VARCHAR2|20||0
A2219009_VCR|NOM_FISICO_COL_VCR|VARCHAR2|30||0
A2219009_VCR|TXT_DOMINIO_VCR|VARCHAR2|30||0
A2219010_VCR|FEC_ACTU|DATE|7||2
A2219010_VCR|COD_RAMO|NUMBER|22|3|2
A2219010_VCR|COD_USR|VARCHAR2|8||2
A2219010_VCR|COD_CIA|NUMBER|22|2|2
A2219010_VCR|COD_PARAMETRO_VCR|VARCHAR2|20||2
A2219010_VCR|NOM_PARAMETRO_VCR|VARCHAR2|20||2
A2219010_VCR|TXT_PARAMETRO_VCR|VARCHAR2|50||2
A2219010_VCR|COD_PROCESSO_VCR|VARCHAR2|4||2
A2219010_VCR|NOM_REGRA_VCR|VARCHAR2|20||2
A2219011_VCR|COD_CIA|NUMBER|22|2|5793
A2219011_VCR|NOM_REGRA_VCR|VARCHAR2|20||5793
A2219011_VCR|COD_RAMO|NUMBER|22|3|5793
A2219011_VCR|FEC_INI_VAL_REGRA_VCR|DATE|7||5793
A2219011_VCR|MCA_REGRA_VCR|VARCHAR2|1||5793
A2219011_VCR|TXT_REGRA|VARCHAR2|50||5793
A2219011_VCR|FEC_FIM_VAL_REGRA|DATE|7||5793
A2219011_VCR|MCA_EXECUCAO_REGRA_VCR|VARCHAR2|1||5793
A2219011_VCR|NOM_PGM_EXE_REGRA|VARCHAR2|50||5793
A2219011_VCR|NOM_PGM_EXE_COND_REGRA|VARCHAR2|50||5793
A2219011_VCR|TXT_SQL_REGRA_VCR|VARCHAR2|2000||5793
A2219011_VCR|TXT_SQL_REGRA_LOGICO_VCR|VARCHAR2|2000||5793
A2219011_VCR|TXT_SQL_CONDICAO_REGRA_VCR|VARCHAR2|2000||5793
A2219011_VCR|TXT_SQL_CONDICAO_LOGICO_VCR|VARCHAR2|2000||5793
A2219011_VCR|COD_ERROR|NUMBER|22|4|5793
A2219011_VCR|MCA_BLOQUEAR_CONDICAO|VARCHAR2|1||5793
A2219011_VCR|MCA_LIBERADO_VCR|VARCHAR2|1||5793
A2219011_VCR|COD_USR|VARCHAR2|8||5793
A2219011_VCR|FEC_ACTU|DATE|7||5793
A2219011_VCR|TXT_SCRIPT_PROC_REGRA_VCR|VARCHAR2|4000||5793
A2219011_VCR|TXT_SCRIPT_PROC_COND_VCR|VARCHAR2|4000||5793
A2219011_VCR|MCA_REGRA_APLICADA_VCR|VARCHAR2|1||5793
A2219011_VCR|MCA_REGRA_CONSISTENCIA_VCR|VARCHAR2|1||5793
A2219011_VCR|NOM_CAMPO_CONSISTIDO_VCR|VARCHAR2|30||5793
A2219011_VCR|NOM_FISICO_TAB_VCR|VARCHAR2|20||5793
A2219011_VCR|NOM_FISICO_COL_VCR|VARCHAR2|30||5793
A2219011_VCR|NOM_COL_VARIAVEL_VCR|VARCHAR2|30||5793
A2219012_VCR|COD_CIA|NUMBER|22|2|3
A2219012_VCR|TXT_REGISTRO_VCR|VARCHAR2|912||3
A2219013_VCR|COD_CIA|NUMBER|22|2|0
A2219013_VCR|TXT_REGISTRO_VCR|VARCHAR2|912||0
A2219014_VCR|COD_CIA|NUMBER|22|2|3
A2219014_VCR|MCA_APOLICE_VCR|VARCHAR2|1||3
A2219014_VCR|TXT_DESCRICAO_SITUACAO_VCR|VARCHAR2|50||3
A2219015_VCR|FEC_PROPOSTA|DATE|7||20494650
A2219015_VCR|COD_CIA|NUMBER|22|2|20494650
A2219015_VCR|NUM_POLIZA|VARCHAR2|13||20494650
A2219015_VCR|NUM_SPTO|NUMBER|22|5|20494650
A2219015_VCR|NUM_APLI|NUMBER|22||20494650
A2219015_VCR|NUM_SPTO_APLI|NUMBER|22|5|20494650
A2219015_VCR|COD_RAMO|NUMBER|22|3|20494650
A2219015_VCR|FEC_EMISION_SPTO|DATE|7||20494650
A2219015_VCR|MCA_APOLICE_VCR|VARCHAR2|1||20494650
A2219015_VCR|MCA_RESULTADO_SUBSCRICAO_VCR|VARCHAR2|1||20494650
A2219015_VCR|FEC_FIM_SUBSCRICAO_VCR|DATE|7||20494650
