select t.TABLE_NAME || '|' ||
       s.COLUMN_NAME || '|' ||
       s.DATA_TYPE || '|' ||
	   s.DATA_LENGTH || '|' ||
	   s.DATA_PRECISION || '|' ||
	   t.NUM_ROWS
from DBA_TABLES t,DBA_TAB_COLUMNS s
where t.table_name = s.table_name
and   t.OWNER  = '&schema';
&schema: CRIVOADM
PRIVILEGIOS|DEFINICAO|VARCHAR2|500||70
PRODUTO|ID_PRODUTO|NUMBER|22|10|6179
PRODUTO|ID_DRIVER|NUMBER|22|10|6179
PRODUTO|NOME|VARCHAR2|50||6179
PRODUTO|TIPO|CHAR|1||6179
PRODUTO|TIPOACESSO|CHAR|1||6179
PRODUTO|INATIVO|NUMBER|22|1|6179
PRODUTO|RELATORIOORIGINAL|NUMBER|22|1|6179
REGIONAL|ID_REGIONAL|NUMBER|22|10|10
REGIONAL|NOME|VARCHAR2|50||10
RESPOSTA|ID_RESPOSTA|NUMBER|22|10|894
RESPOSTA|ID_CRITERIO|NUMBER|22|10|894
RESPOSTA|NOME|VARCHAR2|50||894
TIPOPARAMETRO|ID_TIPOPARAMETRO|NUMBER|22|10|5
TIPOPARAMETRO|NOME|VARCHAR2|10||5
USUARIO|ID_USUARIO|NUMBER|22|10|31
USUARIO|NOME|VARCHAR2|50||31
USUARIO|SENHA|VARCHAR2|150||31
USUARIO|EMAIL|VARCHAR2|250||31
USUARIO|ID_GRUPO|NUMBER|22|10|31
USUARIO|DIRECTORYID|VARCHAR2|250||31
USUARIO|LDAP|NUMBER|22|1|31
USUARIO|BLOQUEADO|NUMBER|22|1|31
USUARIO|ULTIMOLOGIN|DATE|7||31
USUARIO|MOTIVOBLOQUEIO|VARCHAR2|100||31
USUARIO|QUANTIDADETENTATIVALOGIN|NUMBER|22|5|31
USUARIO|ULTIMATROCASENHA|DATE|7||31
USUARIO|HASHSENHA|CHAR|64||31
USUARIO|HASHSENHAUPPER|CHAR|64||31
USUARIO|HASHSALT|CHAR|472||31
USUARIO|TROCASENHAREQUERIDA|NUMBER|22|1|31
HISTORICOLOGIN|IDHISTORICO|NUMBER|22|10|2934
HISTORICOLOGIN|DATAEVENTO|DATE|7||2934
HISTORICOLOGIN|ID_USUARIO|NUMBER|22|10|2934
HISTORICOLOGIN|DESCRICAOEVENTO|VARCHAR2|100||2934
HISTORICOLOGIN|IDUSUARIORESPONSAVEL|NUMBER|22|10|2934
RECURSODRIVER|ID_RECURSODRIVER|NUMBER|22|10|14779
RECURSODRIVER|ID_DRIVER|NUMBER|22|10|14779
RECURSODRIVER|NOME|VARCHAR2|150||14779
RECURSODRIVER|CONTEUDO|CLOB|4000||14779
RECURSODRIVER|MD5|CHAR|32||14779
RECURSOBINARIODRIVER|ID_RECURSOBINARIODRIVER|NUMBER|22|10|253
RECURSOBINARIODRIVER|NOME|VARCHAR2|150||253
RECURSOBINARIODRIVER|CONTEUDO|BLOB|4000||253
VERSAO|NUMERO|VARCHAR2|10||1
FASTSWITCH|ID_USUARIO_PAI|NUMBER|22|10|0
FASTSWITCH|ID_USUARIO_FILHO|NUMBER|22|10|0
FOTO_FASTSWITCH|ID_FOTO_FASTSWITCH|NUMBER|22|10|0
FOTO_FASTSWITCH|ID_USUARIO_PAI|NUMBER|22|10|0
FOTO_FASTSWITCH|ID_USUARIO_FILHO|NUMBER|22|10|0
LOGMULTIOPERACAO|ID_LOGMUTIOPERACAO|NUMBER|22|10|0
LOGMULTIOPERACAO|ID_MULTIOPERACAO|NUMBER|22|10|0
LOGMULTIOPERACAO|ID_LOG|NUMBER|22|10|0
LOGMULTIOPERACAO|OBJANALISE|VARCHAR2|50||0
LOGMULTIOPERACAO|USEROPTION|NUMBER|22|1|0
LOGMULTIOPERACAO|DATA|DATE|7||0
MULTIOPERACAO|ID_MULTIOPERACAO|NUMBER|22|10|0
MULTIOPERACAO|ID_LOG|NUMBER|22|10|0
MULTIOPERACAO|DATA|DATE|7||0
GRUPO_PASTA|ID_GRUPO|NUMBER|22|10|4
GRUPO_PASTA|ID_PASTA|NUMBER|22|10|4
GRUPO_PASTA|DIREITO|NUMBER|22|3|4
FOTO_SISTEMA|ID_FOTO_SISTEMA|NUMBER|22|10|1218
FOTO_SISTEMA|ID_SISTEMA|NUMBER|22|10|1218
FOTO_SISTEMA|ID_CRITERIO|NUMBER|22|10|1218
FOTO_SISTEMA|NOME|VARCHAR2|50||1218
SISTEMA|ID_SISTEMA|NUMBER|22|10|656
SISTEMA|ID_CRITERIO|NUMBER|22|10|656
SISTEMA|NOME|VARCHAR2|50||656
CONFIGURACAO|NOME|VARCHAR2|50||25
CONFIGURACAO|TEXTO|VARCHAR2|255||25
CONFIGURACAO|NUMERO|NUMBER|22|10|25
PARAMETRO_EXPORTADO|ID_PARAMETRO_EXPORTADO|NUMBER|22|10|0
PARAMETRO_EXPORTADO|NOME|VARCHAR2|255||0
RAWDATA|ID_RAWDATA|NUMBER|22|15|66138
RAWDATA|ID_PRODUTO|NUMBER|22|10|66138
RAWDATA|COMPACTADO|NUMBER|22|1|66138
RAWDATA|MD5_PARAMETROS|CHAR|32||66138
RAWDATA|DATA|DATE|7||66138
RAWDATA|RAWDATA|BLOB|4000||66138
LOGRAWDATAMIGRADA|ID_LOGRAWDATA|NUMBER|22|15|66064
LOGRAWDATAMIGRADA|ID_LOG|NUMBER|22|10|66064
LOGRAWDATAMIGRADA|ID_RAWDATA|NUMBER|22|15|66064
LOGRAWDATAMIGRADA|ISONLINE|NUMBER|22|1|66064
LOGRAWDATAMIGRADA|DATA|DATE|7||66064
HISTORICO_CACHECONFIG|ID_FOTO_CACHECONFIG|NUMBER|22|10|6180
HISTORICO_CACHECONFIG|ID_FOTO_INICIO|NUMBER|22|10|6180
HISTORICO_CACHECONFIG|ID_FOTO_FIM|NUMBER|22|10|6180
HISTORICO_CAMPO|ID_FOTO_CAMPO|NUMBER|22|10|0
HISTORICO_CAMPO|ID_FOTO_INICIO|NUMBER|22|10|0
HISTORICO_CAMPO|ID_FOTO_FIM|NUMBER|22|10|0
HISTORICO_CONFIGDRIVER|ID_FOTO_CONFIGDRIVER|NUMBER|22|10|1602
HISTORICO_CONFIGDRIVER|ID_FOTO_INICIO|NUMBER|22|10|1602
HISTORICO_CONFIGDRIVER|ID_FOTO_FIM|NUMBER|22|10|1602
HISTORICO_REGIONAL|ID_FOTO_REGIONAL|NUMBER|22|10|13
HISTORICO_REGIONAL|ID_FOTO_INICIO|NUMBER|22|10|13
HISTORICO_REGIONAL|ID_FOTO_FIM|NUMBER|22|10|13
HISTORICO_CRITERIO|ID_FOTO_CRITERIO|NUMBER|22|10|405
HISTORICO_CRITERIO|ID_FOTO_INICIO|NUMBER|22|10|405
HISTORICO_CRITERIO|ID_FOTO_FIM|NUMBER|22|10|405
HISTORICO_DRIVER|ID_FOTO_DRIVER|NUMBER|22|10|0
HISTORICO_DRIVER|ID_FOTO_INICIO|NUMBER|22|10|0
HISTORICO_DRIVER|ID_FOTO_FIM|NUMBER|22|10|0
HISTORICO_DETALHE|ID_FOTO_DETALHE|NUMBER|22|10|0
HISTORICO_DETALHE|ID_FOTO_INICIO|NUMBER|22|10|0
HISTORICO_DETALHE|ID_FOTO_FIM|NUMBER|22|10|0
HISTORICO_GRUPO_USUARIO|ID_FOTO_GRUPO_USUARIO|NUMBER|22|10|31
HISTORICO_GRUPO_USUARIO|ID_FOTO_INICIO|NUMBER|22|10|31
HISTORICO_GRUPO_USUARIO|ID_FOTO_FIM|NUMBER|22|10|31
