select t.TABLE_NAME || '|' ||
       t.CONSTRAINT_NAME || '|' ||
     t.COLUMN_NAME
from DBA_CONS_COLUMNS t
where t.OWNER = '&schema';
&schema: TRON2000
LOG_LOCALIDADE|SYS_C001684871|LOC_NU
A9989022_VCR|PK_A9989022_VCR|COD_CCONTA
A9989022_VCR|SYS_C003722718|COD_CCONTA
A9989022_VCR|PK_A9989022_VCR|COD_RAMO
A9989022_VCR|SYS_C003722719|COD_RAMO
A9989022_VCR|PK_A9989022_VCR|NUM_POLIZA
A9989022_VCR|SYS_C003722720|NUM_POLIZA
A9989022_VCR|PK_A9989022_VCR|NUM_SPTO
A9989022_VCR|SYS_C003722721|NUM_SPTO
A9989022_VCR|SYS_C003722722|COD_FORMA_COB
A9989022_VCR|SYS_C003722723|COD_TIPO_OPER
A9989022_VCR|PK_A9989022_VCR|NUM_LOTE
A9989022_VCR|SYS_C003722724|NUM_LOTE
A9989022_VCR|PK_A9989022_VCR|NUM_SEQ_REG
A9989022_VCR|SYS_C003722725|NUM_SEQ_REG
A9989022_VCR|SYS_C003722726|MCA_SITUACAO_VCR
A9989022_VCR|SYS_C003722727|COD_USR
STAGE_B2009005_VCR|STAGE_PK_B2009005_VCR|COD_CIA
STAGE_B2009005_VCR|SYS_C002033527|COD_CIA
STAGE_B2009005_VCR|STAGE_PK_B2009005_VCR|COD_SECTOR
STAGE_B2009005_VCR|SYS_C002033528|COD_SECTOR
STAGE_B2009005_VCR|STAGE_PK_B2009005_VCR|COD_RAMO
STAGE_B2009005_VCR|SYS_C002033529|COD_RAMO
STAGE_B2009005_VCR|STAGE_PK_B2009005_VCR|NUM_CERTIFICADO
STAGE_B2009005_VCR|SYS_C002033530|NUM_CERTIFICADO
STAGE_B2009005_VCR|STAGE_PK_B2009005_VCR|COD_SISTEMA_VCR
STAGE_B2009005_VCR|SYS_C002033531|COD_SISTEMA_VCR
M_SSR_FCA|SYS_C001361223|COD_CIA
M_SSR_FCA|SYS_C001361224|NUM_POLIZA
M_SSR_FCA|SYS_C001361225|NUM_SPTO
M_SSR_FCA|SYS_C001361226|NUM_CRUCE
STAGE_B2009005_VCR|SYS_C002033532|TIP_DOCUM
STAGE_B2009005_VCR|STAGE_PK_B2009005_VCR|TIP_DOCUM
STAGE_B2009005_VCR|STAGE_PK_B2009005_VCR|COD_DOCUM
STAGE_B2009005_VCR|SYS_C002033533|COD_DOCUM
STAGE_B2009005_VCR|SYS_C002033534|FEC_ACTU
STAGE_B2009005_VCR|SYS_C002033535|COD_ACT_TERCERO
STAGE_B2009005_VCR|SYS_C002033536|MCA_FISICO
STAGE_B2009005_VCR|SYS_C002033537|NOM_TERCERO
STAGE_B2009005_VCR|SYS_C002033538|COD_TERCERO
STAGE_B2009005_VCR|SYS_C002033539|COD_IDIOMA
STAGE_B2009005_VCR|SYS_C002033540|TIP_DOMICILIO
STAGE_B2009005_VCR|SYS_C002033541|NOM_DOMICILIO1
STAGE_B2009005_VCR|SYS_C002033542|NOM_LOCALIDAD
STAGE_B2009005_VCR|SYS_C002033543|COD_PAIS
STAGE_B2009005_VCR|SYS_C002033544|COD_ESTADO
STAGE_B2009005_VCR|SYS_C002033545|COD_PROV
STAGE_B2009005_VCR|SYS_C002033546|COD_LOCALIDAD
STAGE_B2009005_VCR|SYS_C002033547|COD_POSTAL
STAGE_B2009005_VCR|SYS_C002033548|NUM_APARTADO
STAGE_B2009005_VCR|SYS_C002033549|TIP_DOMICILIO_COM
STAGE_B2009005_VCR|SYS_C002033550|NOM_DOMICILIO1_COM
STAGE_B2009005_VCR|SYS_C002033551|NOM_LOCALIDAD_COM
STAGE_B2009005_VCR|SYS_C002033552|COD_PAIS_COM
STAGE_B2009005_VCR|SYS_C002033553|COD_ESTADO_COM
B2009099_VCR|PK_B2009099_VCR|COD_CIA
B2009099_VCR|SYS_C001361238|COD_CIA
B2009099_VCR|SYS_C001361239|COD_SECTOR
B2009099_VCR|PK_B2009099_VCR|COD_SECTOR
B2009099_VCR|PK_B2009099_VCR|COD_RAMO
B2009099_VCR|SYS_C001361240|COD_RAMO
B2009099_VCR|PK_B2009099_VCR|NUM_CERTIFICADO_CONECT
B2009099_VCR|SYS_C001361241|NUM_CERTIFICADO_CONECT
B2009099_VCR|SYS_C001361242|TIP_DOCUM
B2009099_VCR|SYS_C001361243|COD_DOCUM
B2009099_VCR|SYS_C001361244|FEC_EFEC_SPTO
B2009099_VCR|SYS_C001361245|FEC_VCTO_SPTO
B2009099_VCR|SYS_C001361246|IMP_SPTO
B2009099_VCR|SYS_C001361247|FEC_TRATAMIENTO
B2009099_VCR|SYS_C001361248|FEC_ALTA
B2009099_VCR|SYS_C001361249|TXT_RUTA_ERROR_VCR
B2009099_VCR|SYS_C001361250|TXT_ERROR
STAGE_B2009005_VCR|SYS_C002033554|COD_PROV_COM
STAGE_B2009005_VCR|SYS_C002033555|COD_LOCALIDAD_COM
STAGE_B2009005_VCR|SYS_C002033556|COD_POSTAL_COM
STAGE_B2009005_VCR|SYS_C002033557|NUM_APARTADO_COM
STAGE_B2009005_VCR|SYS_C002033558|TIP_ETIQUETA
STAGE_B2009005_VCR|SYS_C002033559|TXT_ETIQUETA1
STAGE_B2009005_VCR|SYS_C002033560|TXT_ETIQUETA2
STAGE_B2009005_VCR|SYS_C002033561|TXT_ETIQUETA3
STAGE_B2009005_VCR|SYS_C002033562|COD_LOCALIDAD_ETIQUETA
STAGE_B2009005_VCR|SYS_C002033563|NOM_LOCALIDAD_ETIQUETA
RECUSA_FCA|SYS_C001410010|FECHA_EQUIPO
RECUSA_9112|SYS_C001410011|COD_CIA
RECUSA_9112|SYS_C001410012|NUM_POLIZA
RECUSA_9112|SYS_C001410013|NUM_SPTO
RECUSA_9112|SYS_C001410014|NUM_APLI
RECUSA_9112|SYS_C001410015|NUM_SPTO_APLI
RECUSA_9112|SYS_C001410016|NUM_PROTOCOLO_VCR
B2509024_VCR280406|SYS_C001410026|COD_CIA
B2509024_VCR280406|SYS_C001410027|NUM_SINI
B2509024_VCR280406|SYS_C001410028|COD_COB
B2509024_VCR280406|SYS_C001410029|COD_SECTOR
B2509024_VCR280406|SYS_C001410030|COD_RAMO
B2509024_VCR280406|SYS_C001410031|COD_CTO_RVA
B2509024_VCR280406|SYS_C001410032|NUM_SECU_EXPED_VCR
B2509024_VCR280406|SYS_C001410033|NUM_ORDEN
B2509024_VCR280406|SYS_C001410034|NUM_ORDEN_TERMINADO
A2999015_VCR|PK_A2999015_VCR|MCA_POLIZA_CLIENTE
G2009005_VCR|PK_G2009005_VCR|COD_CIA
G2009005_VCR|SYS_C001410053|COD_SECTOR
G2009005_VCR|PK_G2009005_VCR|COD_SECTOR
G2009005_VCR|PK_G2009005_VCR|COD_RAMO
G2009005_VCR|SYS_C001410054|COD_PROD_VCR
G2009005_VCR|PK_G2009005_VCR|COD_PROD_VCR
G2009005_VCR|SYS_C001410055|MCA_PERIODO_VIG
G2009005_VCR|SYS_C001410056|TIP_VENDA_VCR
G2009005_VCR|SYS_C001410057|MCA_LINHA_VCR
G2009005_VCR|SYS_C001410058|MCA_FAMILIA_VCR
G2009005_VCR|SYS_C001410059|NUM_SEQ_FAMILIA_VCR
G2009005_VCR|SYS_C001410060|NUM_POLIZA_CLIENTE
G2009005_VCR|PK_G2009005_VCR|NUM_POLIZA_CLIENTE
G2009005_VCR|PK_G2009005_VCR|IMP_NETA
G2009006_VCR|PK_G2009006_VCR|COD_CIA
G2009006_VCR|SYS_C001410062|COD_SECTOR
G2009006_VCR|PK_G2009006_VCR|COD_SECTOR
G2009006_VCR|PK_G2009006_VCR|COD_RAMO
G2009006_VCR|SYS_C001410063|COD_PROD_VCR
G2009006_VCR|PK_G2009006_VCR|COD_PROD_VCR
G2009006_VCR|SYS_C001410064|MCA_PERIODO_VIG
G2009006_VCR|SYS_C001410065|TIP_VENDA_VCR
G2009006_VCR|SYS_C001410066|MCA_LINHA_VCR
G2009006_VCR|SYS_C001410067|MCA_FAMILIA_VCR
G2009006_VCR|SYS_C001410068|NUM_SEQ_FAMILIA_VCR
G2009006_VCR|SYS_C001410069|MCA_MODALIDAD
G2009006_VCR|PK_G2009006_VCR|VAL_PRODUTO_DESDE
G2009006_VCR|PK_G2009006_VCR|VAL_PRODUTO_HASTA
G2009007_VCR|PK_G2009007_VCR|COD_CIA
G2009007_VCR|SYS_C001410071|COD_SECTOR
G2009007_VCR|PK_G2009007_VCR|COD_SECTOR
G2009007_VCR|PK_G2009007_VCR|COD_RAMO
G2009007_VCR|PK_G2009007_VCR|COD_PROD_VCR
G2009007_VCR|SYS_C001410072|COD_PROD_VCR
G2009007_VCR|PK_G2009007_VCR|MCA_LINHA_VCR
G2009007_VCR|SYS_C001410073|MCA_LINHA_VCR
G2009007_VCR|PK_G2009007_VCR|COD_MARCA
G2009007_VCR|SYS_C001410074|COD_MARCA
G2009007_VCR|SYS_C001410075|NOM_FABRICACION
G2009008_VCR|PK_G2009008_VCR|COD_CIA
G2009008_VCR|SYS_C001410077|COD_SECTOR
G2009008_VCR|PK_G2009008_VCR|COD_SECTOR
G2009008_VCR|PK_G2009008_VCR|COD_RAMO
G2009008_VCR|SYS_C001410078|COD_PROD_VCR
G2009008_VCR|PK_G2009008_VCR|COD_PROD_VCR
G2009008_VCR|PK_G2009008_VCR|VAL_PRECO_NET_VCR
A7009159_VCR|PK_A7009159_VCR|COD_CIA
A7009159_VCR|SYS_C001148311|COD_CIA
A7009159_VCR|PK_A7009159_VCR|COD_CIA_CAPTURA
A7009159_VCR|SYS_C001148312|COD_CIA_CAPTURA
A7009159_VCR|SYS_C001148313|COD_RUBRICA_INT_VCR
A7009159_VCR|SYS_C001148314|NOM_CIA
A7009159_VCR|SYS_C001148315|COD_USR
A7009159_VCR|SYS_C001148316|FEC_ACTU
B7009020_VCR|SYS_C001148318|FEC_INCLUSAO_VCR
B7009020_VCR|SYS_C001148319|MCA_PROCESSADO_VCR
B7009020_VCR|SYS_C001148320|MCA_RETORNO_VCR
A2109322_VCR|PK_A2109322_VCR|NUM_POLIZA
A2109322_VCR|SYS_C002695575|NUM_POLIZA
A2109322_VCR|SYS_C002695576|COD_RAMO
A2109322_VCR|PK_A2109322_VCR|COD_RAMO
A2109322_VCR|PK_A2109322_VCR|NUM_SPTO
A2109322_VCR|SYS_C002695577|NUM_SPTO
A2109322_VCR|SYS_C002695578|NUM_RIESGO
A2109322_VCR|PK_A2109322_VCR|NUM_RIESGO
A2109322_VCR|SYS_C002695579|NUM_CONTRATO
A2109322_VCR|PK_A2109322_VCR|NUM_CONTRATO
A2109322_VCR|SYS_C002695580|COD_CATEGORIA
A2109322_VCR|SYS_C002695581|FEC_INI_VIG_PER
A2109322_VCR|SYS_C002695582|FEC_FIM_VCR
A2109322_VCR|SYS_C002695583|FEC_EFEC_POLIZA
A2109322_VCR|SYS_C002695584|FEC_VCTO_POLIZA
A2109322_VCR|SYS_C002695585|NUM_DIAS_VIG
A2109322_VCR|SYS_C002695586|VAL_INICIAL_VCR
A2109322_VCR|SYS_C002695587|FEC_ARQ_VCR
A2109322_VCR|PK_A2109322_VCR|FEC_ARQ_VCR
A2109322_VCR|SYS_C002695588|FEC_ACTU
A2109322_VCR|SYS_C002695589|COD_USR
A2109322_VCR|PK_A2109322_VCR|COD_TIPO_APLIC_VCR
A2109322_VCR|SYS_C002695590|COD_TIPO_APLIC_VCR
A2109497_VCR|SYS_C002695591|NUM_CONTRATO
A2109497_VCR|PK_A2109497_VCR|NUM_CONTRATO
A2109497_VCR|SYS_C002695592|NUM_PRODUTO_VCR
A2109497_VCR|PK_A2109497_VCR|NUM_PRODUTO_VCR
A2109497_VCR|SYS_C002695593|COD_COBERTURA
A2109497_VCR|PK_A2109497_VCR|COD_COBERTURA
A2109497_VCR|PK_A2109497_VCR|COD_REGIAO_TARIF_VCR
A2109497_VCR|SYS_C002695594|COD_REGIAO_TARIF_VCR
A2109497_VCR|SYS_C002695595|COD_CATEGORIA
A2109497_VCR|PK_A2109497_VCR|COD_CATEGORIA
A2109497_VCR|SYS_C002695596|FEC_INICIO_VIG_VCR
A2109497_VCR|SYS_C002695597|FEC_VIG_FIM_VCR
A2109497_VCR|SYS_C002695598|IMP_VALOR
A2109498_VCR|SYS_C002695599|COD_CIDADE_VCR
A2109498_VCR|PK_A2109498_VCR|COD_CIDADE_VCR
A2109498_VCR|SYS_C002695600|COD_REGIAO_TARIF_VCR
A2109498_VCR|PK_A2109498_VCR|COD_REGIAO_TARIF_VCR
X2109002_VCR|SYS_C002695601|NUM_POLIZA
X2109002_VCR|PK_X2109002_VCR|NUM_POLIZA
X2109002_VCR|SYS_C002695602|COD_RAMO
X2109002_VCR|PK_X2109002_VCR|COD_RAMO
X2109002_VCR|SYS_C002695603|NUM_SPTO
X2109002_VCR|PK_X2109002_VCR|NUM_SPTO
X2109002_VCR|SYS_C002695604|NUM_RIESGO
X2109002_VCR|PK_X2109002_VCR|NUM_RIESGO
X2109002_VCR|SYS_C002695605|NUM_CONTRATO
X2109002_VCR|PK_X2109002_VCR|NUM_CONTRATO
X2109002_VCR|SYS_C002695606|COD_CATEGORIA
X2109002_VCR|SYS_C002695607|FEC_INI_VIG_PER
X2109002_VCR|SYS_C002695608|FEC_FIM_VCR
X2109002_VCR|SYS_C002695609|FEC_EFEC_POLIZA
X2109002_VCR|SYS_C002695610|FEC_VCTO_POLIZA
X2109002_VCR|SYS_C002695611|NUM_DIAS_VIG
X2109002_VCR|SYS_C002695612|VAL_INICIAL_VCR
X2109002_VCR|SYS_C002695613|FEC_ARQ_VCR
X2109002_VCR|SYS_C002695614|FEC_ACTU
X2109002_VCR|SYS_C002695615|COD_USR
X2109002_VCR|SYS_C002695616|COD_TIPO_APLIC_VCR
X2109002_VCR|PK_X2109002_VCR|COD_TIPO_APLIC_VCR
X2109002_VCR|SYS_C002695617|COD_COB
X2109002_VCR|SYS_C002695618|NUM_APOLICE_PROVISORIA
X2109002_VCR|SYS_C002695619|COD_POSTAL
X2109003_VCR|SYS_C002695620|NUM_POLIZA
X2109003_VCR|PK_X2109003_VCR|NUM_POLIZA
X2109003_VCR|SYS_C002695621|COD_RAMO
X2109003_VCR|PK_X2109003_VCR|COD_RAMO
X2109003_VCR|SYS_C002695622|NUM_SPTO
X2109003_VCR|PK_X2109003_VCR|NUM_SPTO
X2109003_VCR|PK_X2109003_VCR|NUM_RIESGO
X2109003_VCR|SYS_C002695623|NUM_RIESGO
X2109003_VCR|SYS_C002695624|NUM_CONTRATO
X2109003_VCR|PK_X2109003_VCR|NUM_CONTRATO
X2109003_VCR|SYS_C002695625|COD_CATEGORIA
X2109003_VCR|SYS_C002695626|FEC_INI_VIG_PER
X2109003_VCR|SYS_C002695627|FEC_FIM_VCR
X2109003_VCR|SYS_C002695628|FEC_EFEC_POLIZA
X2109003_VCR|SYS_C002695629|FEC_VCTO_POLIZA
X2109003_VCR|SYS_C002695630|NUM_DIAS_VIG
X2109003_VCR|SYS_C002695631|VAL_INICIAL_VCR
X2109003_VCR|SYS_C002695632|FEC_ARQ_VCR
X2109003_VCR|SYS_C002695633|FEC_ACTU
X2109003_VCR|SYS_C002695634|COD_USR
X2109003_VCR|SYS_C002695635|COD_TIPO_APLIC_VCR
X2109003_VCR|PK_X2109003_VCR|COD_TIPO_APLIC_VCR
X2109003_VCR|SYS_C002695636|COD_COB
X2109003_VCR|SYS_C002695637|NUM_APOLICE_PROVISORIA
X2109003_VCR|SYS_C002695638|COD_POSTAL
X2109004_VCR|SYS_C002695639|NUM_POLIZA
X2109004_VCR|PK_X2109004_VCR|NUM_POLIZA
X2109004_VCR|SYS_C002695640|COD_RAMO
X2109004_VCR|PK_X2109004_VCR|COD_RAMO
X2109004_VCR|SYS_C002695641|NUM_SPTO
X2109004_VCR|PK_X2109004_VCR|NUM_SPTO
X2109004_VCR|PK_X2109004_VCR|NUM_RIESGO
X2109004_VCR|SYS_C002695642|NUM_RIESGO
X2109004_VCR|SYS_C002695643|NUM_CONTRATO
X2109004_VCR|PK_X2109004_VCR|NUM_CONTRATO
X2109004_VCR|SYS_C002695644|COD_CATEGORIA
X2109004_VCR|SYS_C002695645|FEC_INI_VIG_PER
X2109004_VCR|SYS_C002695646|FEC_FIM_VCR
X2109004_VCR|SYS_C002695647|FEC_EFEC_POLIZA
X2109004_VCR|SYS_C002695648|FEC_VCTO_POLIZA
X2109004_VCR|SYS_C002695649|NUM_DIAS_VIG
X2109004_VCR|SYS_C002695650|VAL_INICIAL_VCR
X2109004_VCR|SYS_C002695651|FEC_ARQ_VCR
X2109004_VCR|SYS_C002695652|FEC_ACTU
X2109004_VCR|SYS_C002695653|COD_USR
X2109004_VCR|SYS_C002695654|COD_TIPO_APLIC_VCR
X2109004_VCR|PK_X2109004_VCR|COD_TIPO_APLIC_VCR
X2109004_VCR|SYS_C002695655|COD_COB
X2109004_VCR|SYS_C002695656|NUM_APOLICE_PROVISORIA
X2109004_VCR|SYS_C002695657|COD_POSTAL
A5029201_VCR|PK_A5029201_VCR|COD_CIA
A5029201_VCR|PK_A5029201_VCR|TIP_DOCUM
A5029201_VCR|PK_A5029201_VCR|COD_DOCUM
A5029201_VCR|PK_A5029201_VCR|COD_EMPRESA_CONVENIO_VCR
A5029110_VCR|PK_A5029110_VCR|COD_SECTOR
A5029110_VCR|SYS_C001393885|COD_SECTOR
A5029195_VCR|PK_A5029195_VCR|COD_CIA
A5029195_VCR|SYS_C001393887|COD_CIA
A5029195_VCR|PK_A5029195_VCR|NUM_POLIZA
A5029195_VCR|SYS_C001393888|NUM_POLIZA
A5029195_VCR|PK_A5029195_VCR|NUM_SPTO
A5029195_VCR|SYS_C001393889|NUM_SPTO
