select t.TABLE_NAME || '|' ||
       s.COLUMN_NAME || '|' ||
       s.DATA_TYPE || '|' ||
	   s.DATA_LENGTH || '|' ||
	   s.DATA_PRECISION || '|' ||
	   t.NUM_ROWS
from DBA_TABLES t,DBA_TAB_COLUMNS s
where t.table_name = s.table_name
and   t.OWNER  = '&schema';
&schema: GDESPADM
GD_BANCO|ID|NUMBER|22||245
GD_BANCO|CD_BANCO|VARCHAR2|4||245
GD_BANCO|DS_BANCO|VARCHAR2|50||245
GD_LIQUIDACAO|NO_EXPEDIENTE|NUMBER|22|15|15214
GD_LIQUIDACAO|ID_CIA|NUMBER|22|2|15214
GD_LIQUIDACAO|NO_SINISTRO|NUMBER|22|15|15214
GD_LIQUIDACAO|NO_LIQUIDACAO|NUMBER|22|15|15214
GD_LIQUIDACAO|NO_REF_LIQUIDACAO|NUMBER|22|15|15214
GD_LIQUIDACAO|TP_ATIVIDADE|NUMBER|22|3|15214
GD_LIQUIDACAO|TP_DOCUMENTO|VARCHAR2|3||15214
GD_LIQUIDACAO|ID_TP_BENEFICIARIO|NUMBER|22||15214
GD_LIQUIDACAO|NO_DOCUMENTO|VARCHAR2|20||15214
GD_LIQUIDACAO|NM_FAVORECIDO|VARCHAR2|80||15214
GD_LIQUIDACAO|VL_PAGO|NUMBER|22|20|15214
GD_LIQUIDACAO|DT_PAGAMENTO|DATE|7||15214
GD_LIQUIDACAO|DT_ESTIMADA_PAGAMENTO|DATE|7||15214
GD_LIQUIDACAO|DT_LIQUIDACAO|DATE|7||15214
GD_LIQUIDACAO|DT_ANULACAO_LIQUIDACAO|DATE|7||15214
GD_LIQUIDACAO|CD_COMPENSACAO|NUMBER|22|1|15214
GD_LIQUIDACAO|CD_BANCO|VARCHAR2|4||15214
GD_LIQUIDACAO|CD_AGENCIA|VARCHAR2|4||15214
GD_LIQUIDACAO|NO_CONTA|VARCHAR2|30||15214
GD_LIQUIDACAO|NO_DV_CONTA|VARCHAR2|2||15214
GD_LIQUIDACAO|CD_MARCA_PROVISIONAL|VARCHAR2|1||15214
GD_LIQUIDACAO|CD_MOEDA_PAGAMENTO|NUMBER|22|2|15214
GD_LIQUIDACAO|VA_CAMBIO|NUMBER|22|20|15214
GD_LIQUIDACAO|CD_RESERVA|NUMBER|22|2|15214
GD_LIQUIDACAO|TP_LIQUIDACAO|VARCHAR2|1||15214
GD_LIQUIDACAO|CD_PAGAMENTO|VARCHAR2|3||15214
GD_LIQUIDACAO|FL_PORTARIA_627|VARCHAR2|1||15214
GD_LIQUIDACAO|CD_STATUS_PAGAMENTO|VARCHAR2|10||15214
GD_LIQUIDACAO|DS_STATUS_PAGAMENTO|VARCHAR2|50||15214
GD_LIQUIDACAO|TP_PAGAMENTO|VARCHAR2|10||15214
GD_LIQUIDACAO|FL_PAGAMENTO_EFETUADO|VARCHAR2|1||15214
GD_ORDEM_PAGAMENTO|ID_CIA|NUMBER|22|2|14257
GD_ORDEM_PAGAMENTO|NO_SINISTRO|NUMBER|22|15|14257
GD_ORDEM_PAGAMENTO|NO_EXPEDIENTE|NUMBER|22|15|14257
GD_ORDEM_PAGAMENTO|NO_ORDEM|NUMBER|22|15|14257
GD_ORDEM_PAGAMENTO|FL_FINANCIAMENTO_LEASING|VARCHAR2|1||14257
GD_ORDEM_PAGAMENTO|VL_PREMIO_PENDENTE|NUMBER|22|15|14257
GD_ORDEM_PAGAMENTO|VL_IPVA|NUMBER|22|15|14257
GD_ORDEM_PAGAMENTO|VL_DPVA|NUMBER|22|15|14257
GD_ORDEM_PAGAMENTO|VL_LICENCIAMENTO|NUMBER|22|15|14257
GD_ORDEM_PAGAMENTO|VL_MULTAS|NUMBER|22|15|14257
GD_ORDEM_PAGAMENTO|VL_OUTROS_DEBITOS|NUMBER|22|15|14257
GD_ORDEM_PAGAMENTO|VL_DEMAIS_DEDUCOES|NUMBER|22|15|14257
GD_ORDEM_PAGAMENTO|VL_TOTAL_DEDUCOES|NUMBER|22|15|14257
GD_ORDEM_PAGAMENTO|ID_TP_BENEFICIARIO|NUMBER|22||14257
GD_ORDEM_PAGAMENTO|TP_PAGAMENTO|VARCHAR2|10||14257
GD_ORDEM_PAGAMENTO|FL_PORTARIA_627|VARCHAR2|1||14257
GD_ORDEM_PAGAMENTO|NM_FAVORECIDO|VARCHAR2|80||14257
GD_ORDEM_PAGAMENTO|TP_DOCUMENTO|VARCHAR2|4||14257
GD_ORDEM_PAGAMENTO|NO_DOCUMENTO|VARCHAR2|20||14257
GD_ORDEM_PAGAMENTO|DS_FORMA_PAGAMENTO|VARCHAR2|50||14257
GD_ORDEM_PAGAMENTO|VL_PAGAMENTO|NUMBER|22|15|14257
GD_ORDEM_PAGAMENTO|DT_PAGAMENTO|DATE|7||14257
GD_ORDEM_PAGAMENTO|ID_BANCO|NUMBER|22||14257
GD_ORDEM_PAGAMENTO|CD_AGENCIA|VARCHAR2|4||14257
GD_ORDEM_PAGAMENTO|NO_CONTA|VARCHAR2|30||14257
GD_ORDEM_PAGAMENTO|NO_DV_CONTA|VARCHAR2|2||14257
GD_ORDEM_PAGAMENTO|DS_LOGRADOURO|VARCHAR2|200||14257
GD_ORDEM_PAGAMENTO|NO_LOGRADOURO|VARCHAR2|10||14257
GD_ORDEM_PAGAMENTO|VL_COMPLEMENTO_LOGRADOURO|VARCHAR2|10||14257
GD_ORDEM_PAGAMENTO|DS_CIDADE|VARCHAR2|100||14257
GD_ORDEM_PAGAMENTO|DS_UF|VARCHAR2|2||14257
GD_ORDEM_PAGAMENTO|DT_HORA_GERACAO|DATE|7||14257
GD_ORDEM_PAGAMENTO|FL_CONFIRMADO|VARCHAR2|1||14257
GD_ORDEM_PAGAMENTO|DS_OBSERVACOES_CNSEG|VARCHAR2|200||14257
GD_ORDEM_PAGAMENTO|FL_PERMITE_CONFIRMACAO|VARCHAR2|1||14257
GD_ORDEM_PAGAMENTO|DS_OBSERVACAO|VARCHAR2|300||14257
GD_TIPO_USUARIO|ID|NUMBER|22||4
GD_TIPO_USUARIO|TP_USUARIO|CHAR|1||4
GD_TIPO_USUARIO|DS_TP_USUARIO|VARCHAR2|100||4
GD_TIPO_USUARIO|USUARIO_ALTERACAO|VARCHAR2|100||4
GD_TIPO_USUARIO|DT_ALTERACAO|DATE|7||4
GD_FERIADO|ID|NUMBER|22||8
GD_FERIADO|DT_FERIADO|DATE|7||8
GD_FERIADO|DS_FERIADO|VARCHAR2|100||8
GD_STATUS_PROCESSO|ID|NUMBER|22||26
GD_STATUS_PROCESSO|CD_PROCESSO|VARCHAR2|10||26
GD_STATUS_PROCESSO|DS_PROCESSO|VARCHAR2|100||26
GD_STATUS_PROCESSO|IDENTIFICADOR_PROCESSO|VARCHAR2|250||26
GD_STATUS_PROCESSO|OCORRENCIA|VARCHAR2|250||26
GD_STATUS_PROCESSO|OBSERVACAO|VARCHAR2|500||26
GD_STATUS_PROCESSO|PSEUDO_STATUS|CHAR|1||26
GD_STATUS_PROCESSO|WORKFLOW|CHAR|1||26
GD_STATUS_PROCESSO|USUARIO_ALTERACAO|VARCHAR2|100||26
GD_STATUS_PROCESSO|DT_ALTERACAO|DATE|7||26
GD_EVENTO|ID|NUMBER|22||4
GD_EVENTO|NM_EVENTO|VARCHAR2|100||4
GD_ALERTA_EVENTO|ID|NUMBER|22||12
GD_ALERTA_EVENTO|NO_DIAS_ALERTA|NUMBER|22|3|12
GD_ALERTA_EVENTO|NO_HORA_ALERTA|NUMBER|22|3|12
GD_ALERTA_EVENTO|ID_EVENTO|NUMBER|22||12
GD_ALERTA_EVENTO|ID_STATUS_PROCESSO|NUMBER|22||12
GD_ALERTA_EVENTO|DT_CADASTRO|TIMESTAMP(6)|11||12
GD_ALERTA_EVENTO|DT_ATUALIZACAO|TIMESTAMP(6)|11||12
GD_STATUS_TIPO_USUARIO|ID_STATUS_PROCESSO|NUMBER|22||0
GD_STATUS_TIPO_USUARIO|ID_TP_USUARIO|NUMBER|22||0
GD_TIPO_MODULO|ID|NUMBER|22||2
GD_TIPO_MODULO|DS_TP_MODULO|VARCHAR2|100||2
GD_MODULO|ID|NUMBER|22||34
GD_MODULO|MODULO_PAI|NUMBER|22||34
GD_MODULO|DS_MODULO|VARCHAR2|250||34
GD_MODULO|URL|VARCHAR2|250||34
GD_MODULO|DS_MENU|VARCHAR2|250||34
GD_MODULO|ID_TP_MODULO|NUMBER|22||34
GD_MODULO|USUARIO_ALTERACAO|VARCHAR2|100||34
GD_MODULO|DT_ALTERACAO|DATE|7||34
GD_TIPO_USUARIO_MODULO|ID|NUMBER|22||136
GD_TIPO_USUARIO_MODULO|ID_MODULO|NUMBER|22||136
GD_TIPO_USUARIO_MODULO|ID_TP_USUARIO|NUMBER|22||136
GD_TIPO_USUARIO_MODULO|PERMISSAO|CHAR|1||136
GD_TIPO_USUARIO_MODULO|USUARIO_ALTERACAO|VARCHAR2|100||136
GD_TIPO_USUARIO_MODULO|DT_ALTERACAO|DATE|7||136
GD_CIA|ID_CIA|NUMBER|22|2|3
GD_CIA|NM_CIA|VARCHAR2|50||3
GD_PRODUTO|ID|NUMBER|22||21
GD_PRODUTO|DS_PRODUTO|VARCHAR2|30||21
GD_CORRETOR|ID|NUMBER|22||0
GD_CORRETOR|CD_INTERNO|NUMBER|22|10|0
GD_CORRETOR|CD_SUSEP|VARCHAR2|15||0
GD_CORRETOR|CPF_CNPJ|VARCHAR2|15||0
GD_CORRETOR|NM_CORRETOR|VARCHAR2|100||0
GD_CORRETOR|TELEFONE|VARCHAR2|20||0
GD_CORRETOR|EMAIL_CORRETOR|VARCHAR2|100||0
GD_CTS|ID|NUMBER|22||18
GD_CTS|NM_NIVEL3|VARCHAR2|30||18
GD_EMPRESA|ID|NUMBER|22||0
GD_EMPRESA|NM_EMPRESA|VARCHAR2|200||0
GD_DOCUMENTO|ID|NUMBER|22||828
GD_DOCUMENTO|ID_CIA|NUMBER|22|2|828
GD_DOCUMENTO|ID_RAMO|NUMBER|22|4|828
GD_DOCUMENTO|TP_EXP|VARCHAR2|3||828
GD_DOCUMENTO|CD_DOC|VARCHAR2|5||828
GD_DOCUMENTO|NM_DOC|VARCHAR2|300||828
GD_DOCUMENTO|FL_ATIVO|CHAR|1||828
GD_DOCUMENTO|FL_DOCUMENTO_AVULSO|CHAR|1||828
GD_KIT_DOCUMENTO|ID|NUMBER|22||12
GD_KIT_DOCUMENTO|NM_KIT|VARCHAR2|100||12
GD_KIT_DOCUMENTO|FL_ATIVO|CHAR|1||12
GD_GRUPO_USUARIO|ID|NUMBER|22||7
