select t.TABLE_NAME || '|' ||
       s.COLUMN_NAME || '|' ||
       s.DATA_TYPE || '|' ||
	   s.DATA_LENGTH || '|' ||
	   s.DATA_PRECISION || '|' ||
	   t.NUM_ROWS
from DBA_TABLES t,DBA_TAB_COLUMNS s
where t.table_name = s.table_name
and   t.OWNER  = '&schema';
&schema: ARISADM
ALSDB_A_EXPLIMPLLOCKS|DUPLICATE|NUMBER|22|10|0
ALSDB_A_EXPLIMPLLOCKS|CSIGNORE|NUMBER|22|10|0
ALSDB_A_EXPLIMPLLOCKS|CLANID|NUMBER|22|10|0
ALSDB_A_EXPLIMPLLOCKS|SVALUE|BLOB|4000||0
ALSDB_A_LOCKCONTEXT|ROWKEY|VARCHAR2|255||0
ALSDB_A_LOCKCONTEXT|ASN|NUMBER|22|10|0
ALSDB_A_LOCKCONTEXT|ROWSTATE|VARCHAR2|255||0
ALSDB_A_LOCKCONTEXT|EXPLICIT|NUMBER|22|10|0
ALSDB_A_LOCKCONTEXT|DUPLICATE|NUMBER|22|10|0
ALSDB_A_LOCKCONTEXT|CSIGNORE|NUMBER|22|10|0
ALSDB_A_LOCKCONTEXT|CLANID|NUMBER|22|10|0
ALSDB_A_LOCKCONTEXT|SVALUE|BLOB|4000||0
ALSDB_A_LOCKOWNER|ROWKEY|VARCHAR2|255||0
ALSDB_A_LOCKOWNER|ASN|NUMBER|22|10|0
ALSDB_A_LOCKOWNER|ROWSTATE|VARCHAR2|255||0
ALSDB_A_LOCKOWNER|EXPLICIT|NUMBER|22|10|0
ALSDB_A_LOCKOWNER|DUPLICATE|NUMBER|22|10|0
ALSDB_A_LOCKOWNER|CSIGNORE|NUMBER|22|10|0
ALSDB_A_LOCKOWNER|CLANID|NUMBER|22|10|0
ALSDB_A_LOCKOWNER|SVALUE|BLOB|4000||0
ALSDB_A_LOCKUNIT|ROWKEY|VARCHAR2|255||0
ALSDB_A_LOCKUNIT|ASN|NUMBER|22|10|0
ALSDB_A_LOCKUNIT|ROWSTATE|VARCHAR2|255||0
ALSDB_A_LOCKUNIT|EXPLICIT|NUMBER|22|10|0
ALSDB_A_LOCKUNIT|DUPLICATE|NUMBER|22|10|0
ALSDB_A_LOCKUNIT|CSIGNORE|NUMBER|22|10|0
