select t.INDEX_NAME || '|' ||
       t.INDEX_TYPE || '|' ||
	   t.TABLE_NAME || '|' ||
	   t.VISIBILITY || '|' ||
       t.UNIQUENESS || '|' ||
	   t.STATUS
from DBA_INDEXES t
where t.OWNER = '&schema';
&schema: ARISADM
IDX_OCTOPUS_EXECUTIONRESULT_WA|NORMAL|OCTOPUS_EXECUTIONRESULT|VISIBLE|NONUNIQUE|
IDX_OCTOPUS_EXECUTIONRESULT_B|NORMAL|OCTOPUS_EXECUTIONRESULT|VISIBLE|NONUNIQUE|V
SYS_IL0000115643C00004$$|LOB|OCTOPUS_EXECUTIONRESULT|VISIBLE|UNIQUE|VALID
SYS_IL0000115639C00006$$|LOB|OCTOPUS_B_SPACE|VISIBLE|UNIQUE|VALID
SYS_C0016212|NORMAL|OCTOPUS_B_SPACE|VISIBLE|UNIQUE|VALID
SYS_IL0000115635C00006$$|LOB|OCTOPUS_B_QUERY|VISIBLE|UNIQUE|VALID
SYS_C0016208|NORMAL|OCTOPUS_B_QUERY|VISIBLE|UNIQUE|VALID
SYS_IL0000115631C00006$$|LOB|OCTOPUS_B_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_C0016204|NORMAL|OCTOPUS_B_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_IL0000115627C00006$$|LOB|OCTOPUS_B_LOCALE|VISIBLE|UNIQUE|VALID
SYS_C0016200|NORMAL|OCTOPUS_B_LOCALE|VISIBLE|UNIQUE|VALID
SYS_IL0000115623C00006$$|LOB|OCTOPUS_B_GROUP|VISIBLE|UNIQUE|VALID
SYS_C0016196|NORMAL|OCTOPUS_B_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115601C00005$$|LOB|OCTOPUS_B_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_IL0000115601C00006$$|LOB|OCTOPUS_B_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_IL0000115601C00007$$|LOB|OCTOPUS_B_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_IL0000115601C00008$$|LOB|OCTOPUS_B_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_IL0000115601C00009$$|LOB|OCTOPUS_B_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_IL0000115601C00010$$|LOB|OCTOPUS_B_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_IL0000115601C00011$$|LOB|OCTOPUS_B_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_IL0000115601C00012$$|LOB|OCTOPUS_B_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_IL0000115601C00013$$|LOB|OCTOPUS_B_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_IL0000115601C00014$$|LOB|OCTOPUS_B_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_C0016192|NORMAL|OCTOPUS_B_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_IL0000115579C00005$$|LOB|OCTOPUS_B_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115579C00006$$|LOB|OCTOPUS_B_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115579C00007$$|LOB|OCTOPUS_B_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115579C00008$$|LOB|OCTOPUS_B_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115579C00009$$|LOB|OCTOPUS_B_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115579C00010$$|LOB|OCTOPUS_B_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115579C00011$$|LOB|OCTOPUS_B_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115579C00012$$|LOB|OCTOPUS_B_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115579C00013$$|LOB|OCTOPUS_B_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115579C00014$$|LOB|OCTOPUS_B_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_C0016188|NORMAL|OCTOPUS_B_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115557C00005$$|LOB|OCTOPUS_B_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_IL0000115557C00006$$|LOB|OCTOPUS_B_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_IL0000115557C00007$$|LOB|OCTOPUS_B_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_IL0000115557C00008$$|LOB|OCTOPUS_B_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_IL0000115557C00009$$|LOB|OCTOPUS_B_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_IL0000115557C00010$$|LOB|OCTOPUS_B_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_IL0000115557C00011$$|LOB|OCTOPUS_B_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_IL0000115557C00012$$|LOB|OCTOPUS_B_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_IL0000115557C00013$$|LOB|OCTOPUS_B_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_IL0000115557C00014$$|LOB|OCTOPUS_B_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_C0016184|NORMAL|OCTOPUS_B_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_IL0000115553C00006$$|LOB|OCTOPUS_B_EXECUTIONRESULT|VISIBLE|UNIQUE|VALID
SYS_C0016180|NORMAL|OCTOPUS_B_EXECUTIONRESULT|VISIBLE|UNIQUE|VALID
SYS_IL0000115549C00006$$|LOB|OCTOPUS_B_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_C0016176|NORMAL|OCTOPUS_B_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_IL0000115545C00006$$|LOB|OCTOPUS_B_ADAPTERTYPE|VISIBLE|UNIQUE|VALID
SYS_C0016172|NORMAL|OCTOPUS_B_ADAPTERTYPE|VISIBLE|UNIQUE|VALID
SYS_IL0000115541C00006$$|LOB|OCTOPUS_B_ADAPTER|VISIBLE|UNIQUE|VALID
SYS_C0016168|NORMAL|OCTOPUS_B_ADAPTER|VISIBLE|UNIQUE|VALID
IDX_OCTOPUS_A_SPACE_AR|NORMAL|OCTOPUS_A_SPACE|VISIBLE|NONUNIQUE|VALID
SYS_IL0000115525C00008$$|LOB|OCTOPUS_A_SPACE|VISIBLE|UNIQUE|VALID
SYS_C0016158|NORMAL|OCTOPUS_A_SPACE|VISIBLE|UNIQUE|VALID
IDX_OCTOPUS_A_QUERY_AR|NORMAL|OCTOPUS_A_QUERY|VISIBLE|NONUNIQUE|VALID
SYS_IL0000115521C00008$$|LOB|OCTOPUS_A_QUERY|VISIBLE|UNIQUE|VALID
SYS_C0016152|NORMAL|OCTOPUS_A_QUERY|VISIBLE|UNIQUE|VALID
IDX_OCTOPUS_A_PATHFINDING_AR|NORMAL|OCTOPUS_A_PATHFINDING|VISIBLE|NONUNIQUE|VALI
SYS_IL0000115517C00008$$|LOB|OCTOPUS_A_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_C0016146|NORMAL|OCTOPUS_A_PATHFINDING|VISIBLE|UNIQUE|VALID
IDX_OCTOPUS_A_LOCALE_AR|NORMAL|OCTOPUS_A_LOCALE|VISIBLE|NONUNIQUE|VALID
SYS_IL0000115513C00008$$|LOB|OCTOPUS_A_LOCALE|VISIBLE|UNIQUE|VALID
SYS_C0016140|NORMAL|OCTOPUS_A_LOCALE|VISIBLE|UNIQUE|VALID
IDX_OCTOPUS_A_GROUP_AR|NORMAL|OCTOPUS_A_GROUP|VISIBLE|NONUNIQUE|VALID
SYS_IL0000115509C00008$$|LOB|OCTOPUS_A_GROUP|VISIBLE|UNIQUE|VALID
SYS_C0016134|NORMAL|OCTOPUS_A_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115505C00008$$|LOB|OCTOPUS_A_EXECUTIONRESULT|VISIBLE|UNIQUE|VALID
SYS_C0016128|NORMAL|OCTOPUS_A_EXECUTIONRESULT|VISIBLE|UNIQUE|VALID
IDX_OCTOPUS_A_ANALYSIS_AR|NORMAL|OCTOPUS_A_ANALYSIS|VISIBLE|NONUNIQUE|VALID
SYS_IL0000115501C00008$$|LOB|OCTOPUS_A_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_C0016122|NORMAL|OCTOPUS_A_ANALYSIS|VISIBLE|UNIQUE|VALID
IDX_OCTOPUS_A_ADAPTERTYPE_AR|NORMAL|OCTOPUS_A_ADAPTERTYPE|VISIBLE|NONUNIQUE|VALI
SYS_IL0000115497C00008$$|LOB|OCTOPUS_A_ADAPTERTYPE|VISIBLE|UNIQUE|VALID
SYS_C0016116|NORMAL|OCTOPUS_A_ADAPTERTYPE|VISIBLE|UNIQUE|VALID
IDX_OCTOPUS_A_ADAPTER_AR|NORMAL|OCTOPUS_A_ADAPTER|VISIBLE|NONUNIQUE|VALID
SYS_IL0000115493C00008$$|LOB|OCTOPUS_A_ADAPTER|VISIBLE|UNIQUE|VALID
SYS_C0016110|NORMAL|OCTOPUS_A_ADAPTER|VISIBLE|UNIQUE|VALID
IDX_OCTOPUS_ANALYSIS_B|NORMAL|OCTOPUS_ANALYSIS|VISIBLE|NONUNIQUE|VALID
IDX_OCTOPUS_ANALYSIS_WA|NORMAL|OCTOPUS_ANALYSIS|VISIBLE|NONUNIQUE|VALID
SYS_IL0000115537C00004$$|LOB|OCTOPUS_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_C0016164|NORMAL|OCTOPUS_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_C0016162|NORMAL|OCTOPUS_ADAPTERTYPE|VISIBLE|UNIQUE|VALID
IDX_OCTOPUS_ADAPTERTYPE_WA|NORMAL|OCTOPUS_ADAPTERTYPE|VISIBLE|NONUNIQUE|VALID
IDX_OCTOPUS_ADAPTERTYPE_B|NORMAL|OCTOPUS_ADAPTERTYPE|VISIBLE|NONUNIQUE|VALID
SYS_IL0000115533C00004$$|LOB|OCTOPUS_ADAPTERTYPE|VISIBLE|UNIQUE|VALID
SYS_C0016160|NORMAL|OCTOPUS_ADAPTER|VISIBLE|UNIQUE|VALID
IDX_OCTOPUS_ADAPTER_WA|NORMAL|OCTOPUS_ADAPTER|VISIBLE|NONUNIQUE|VALID
IDX_OCTOPUS_ADAPTER_B|NORMAL|OCTOPUS_ADAPTER|VISIBLE|NONUNIQUE|VALID
SYS_IL0000115529C00004$$|LOB|OCTOPUS_ADAPTER|VISIBLE|UNIQUE|VALID
SYS_IL0000112180C00003$$|LOB|MZNG_A_TEMPSTORAGE|VISIBLE|UNIQUE|VALID
PK_MZNG_A_TEMPSTORAGE|NORMAL|MZNG_A_TEMPSTORAGE|VISIBLE|UNIQUE|VALID
PK_MZNG_A_RATINGSUMMARY|NORMAL|MZNG_A_RATINGSUMMARY|VISIBLE|UNIQUE|VALID
PK_MZNG_A_RATING|NORMAL|MZNG_A_RATING|VISIBLE|UNIQUE|VALID
PK_MZNG_A_PROXYCONFIGURATION|NORMAL|MZNG_A_PROXYCONFIGURATION|VISIBLE|UNIQUE|VAL
PK_MZNG_A_PASSWORDSTORE|NORMAL|MZNG_A_PASSWORDSTORE|VISIBLE|UNIQUE|VALID
SYS_IL0000112209C00006$$|LOB|MZNG_A_METAINFO_TO_IMAGES|VISIBLE|UNIQUE|VALID
PK_MZNG_A_METAINFO|NORMAL|MZNG_A_METAINFO|VISIBLE|UNIQUE|VALID
SYS_IL0000112156C00003$$|LOB|MZNG_A_MASHAPP|VISIBLE|UNIQUE|VALID
SYS_IL0000112156C00004$$|LOB|MZNG_A_MASHAPP|VISIBLE|UNIQUE|VALID
SYS_IL0000112156C00005$$|LOB|MZNG_A_MASHAPP|VISIBLE|UNIQUE|VALID
SYS_IL0000112156C00006$$|LOB|MZNG_A_MASHAPP|VISIBLE|UNIQUE|VALID
SYS_IL0000112156C00007$$|LOB|MZNG_A_MASHAPP|VISIBLE|UNIQUE|VALID
SYS_IL0000112156C00008$$|LOB|MZNG_A_MASHAPP|VISIBLE|UNIQUE|VALID
PK_MZNG_A_MASHAPP|NORMAL|MZNG_A_MASHAPP|VISIBLE|UNIQUE|VALID
PK_MZNG_A_LOCK|NORMAL|MZNG_A_LOCK|VISIBLE|UNIQUE|VALID
